term	paraphrase
hypertension artérielle pulmonaire	est une maladie dévastatrice se caractérisant par une augmentation de la résistance vasculaire pulmonaire qui conduit à une insuffisance cardiaque droite et finalement au décès
indice glycémique (IG)	est une mesure de la capacité d'un carbohydrate (par exemple le sucre ou l'amidon) à affecter les taux de sucre dans le sang
grippe	infection respiratoire virale qui provoque une maladie fébrile aiguë accompagnée de myalgie, de céphalées et de toux, et qui peut être associée à des taux de morbidité et de mortalité élevés au cours d'une épidémie
maladie de Duchenne de Boulogne	est maladie une atrophie musculaire progressive qui se déclare pendant la petite enfance, exige l'utilisation d'un fauteuil roulant avant l'âge de 13 ans et entraîne une insuffisance respiratoire avant la fin de l'adolescence
anxiété	problème courant pour les personnes ayant une maladie qui s'aggrave et étant dans leur dernière année de vie
mesures physiologiques	est par exemple La mesure du monoxyde de carbone exhalé ou les épreuves fonctionnelles respiratoires
rivastigmine	est un médicament beaucoup utilisé dans la maladie d'Alzheimer (MA)
syndrome de Miller-Fisher	est une maladie paralytique rare, généralement provoquée par une inflammation auto-immune des nerfs suite à une infection
méningococcie	est une maladie bactérienne contagieuse à taux de mortalité élevé, jusqu'à 15 pour cent pour l'infection du système nerveux central (méningite) et jusqu'à 50 à 60 pour cent chez les malades présentant une infection du courant sanguin ou un choc ; jusqu'à 15 pour cent des survivants souffrent de graves déficits neurologique
tuberculose	est une maladie infectieuse provoquée par les bactéries Mycobacterium tuberculosis
arthrose	est une  maladie des articulations affectant par exemple le genou ou la hanche
rétinopathie du prématuré	est une maladie de l'oeil qui affecte les bébés nés avant terme
angine	est une maladie aiguë des voies respiratoires répandue qui affecte tous les groupes d'âge
maladie de Parkinson	affection invalidante du cerveau qui se caractérise par un ralentissement des mouvements, des tremblements, une rigidité musculaire et, à des stades plus avancés, une perte d'équilibre
myopie	est un défaut de la vision qui se trouble lorsque des objets sont observés à distance
cryptosporidiose	est une maladie qui provoque la diarrhée et peut mettre en jeu le pronostic vital des individus dont le corps n'est pas capable de résister aux infection
dépendance à une substance	est une maladie mentale et médicale
achalasie	est un trouble de la motilité oesophagienne qui entraîne une tonicité accrue du sphincter oesophagien inférieur (SOI) et des symptômes de difficultés de déglutition
myasthénie grave	est une affection auto-immune dans laquelle les anticorps de l'organisme bloquent la transmission des influx nerveux aux muscles, entraînant une faiblesse fluctuante et faisant que les muscles se fatiguent facilement
polyglobulie	est une affection qui se caractérise par une quantité excessive de globules rouges dans la circulation sanguine
maladie de Crohn	pathologie inflammatoire d'origine inconnue qui peut affecter n'importe quelle partie du tractus gastro-intestinal, de la bouche à l'anus
syndrome du côlon irritable (SCI)	est une affection gastro-intestinale chronique caractérisée par une altération des habitudes intestinales et des douleurs et une gêne abdominales
dégénérescence maculaire liée à l'âge (DMLA)	est une maladie évolutive et dégénérative de la rétine qui provoque le développement de vaisseaux sanguins sous la rétine, ce qui finit par conduire à une déficience visuelle
bronchiolite	est une maladie respiratoire grave qui affecte les bébés
sclérose latérale amyotrophique (SLA)	est une maladie neurodégénérative progressive qui mène à la paralysie générale et à un raccourcissement de la vie
trachéomalacie secondaire	compression due à une autre anomalie à proximité de la trachée
bronchopneumopathie chronique obstructive (BPCO)	est un trouble pulmonaire progressif et commun associé à une limitation généralement irréversible du flux respiratoire
syndrome néphrotique	est une maladie relativement rare dans laquelle les reins laissent échapper les protéines dans les urines
diarrhée aiguë	maladie généralement causée par une infection virale ou bactérienne, est une maladie infantile courante
transplantation hépatique	procédure chirurgicale majeure qui est pratiquée depuis plus de quarante ans et est devenue aujourd'hui une option thérapeutique généralement admise pour les patients atteints d'une maladie du foie en phase terminale
entérocolite nécrosante (ECN)	est une maladie grave qui affecte l'intestin des nouveau-nés prématurés au cours des premières semaines de vie
eczéma	est une maladie cutanée très courante et de longue durée due à des facteurs génétiques et environnementaux et qui se déclare souvent pendant la petite enfance et l'enfance
rougeole	est une maladie infectieuse provoquée par la multiplication d'un virus à acide ribonucléique (ARN) monocaténaire du genre Morbillivirus dans les voies respiratoires supérieures et la conjonctive
diabète	est une maladie caractérisée par un niveau de glucose (sucre) supérieur à la normale dans le sang
blépharite	est définie comme une inflammation des paupières
délirium	est une maladie grave et courante chez les patients admis à l'hôpital
délirium	est une affection très coûteuse pour les services de santé
clozapine	est  un médicament antipsychotique utilisé dans le traitement de la schizophrénie
névralgie post-herpétique	est une affection douloureuse qui est l'une des complications les plus fréquentes de l'infection aiguë à herpès zoster
arthrose	maladie affectant les articulations, telles que celles du genou ou de la hanche
glaucome	est une affection qui endommage le nerf optique et affecte principalement le côté de la vision
sclérose en plaques	est une affection neurologique chronique qui peut entraîner de multiples incapacités et limiter la participation chez les jeunes adultes
neuropathie vasculaire non systémique	est une maladie rare entraînant une perte sensorielle progressive, incapacitante et douloureuse accompagnée d'un affaiblissement musculaire souvent asymétrique des bras et des jambes
syndrome thoracique aigu	cause majeure de maladie et de décès chez les personnes atteintes de drépanocytose
dépression majeure	est une maladie mentale grave, caractérisée par une humeur morose persistante et non réactive et la perte de tout intérêt et plaisir, le plus souvent accompagnée d'un éventail de symptômes, y compris le changement d'appétit, les troubles du sommeil, la fatigue, la perte d'énergie, le manque de concentration, des symptômes psychomoteurs, des pensées inappropriées de culpabilité et morbides de mort
sclérose latérale amyotrophique (SLA)	est une maladie rare qui se caractérise par une dégénérescence des nerfs moteurs entraînant une atrophie et un affaiblissement progressifs des muscles
lombalgie	est une affection qui provoque beaucoup de douleurs et de souffrances à travers le monde et représente également des coûts importants pour la société en raison des dépenses de santé et des absences au travail
trypanosomiase humaine africaine (THA)	maladie douloureuse et de longue durée transmise par la piqûre des mouches tsé-tsé infectées, qui est prévalente dans les zones rurales d'Afrique subsaharienne
amyotrophie spinale (AMS)	est un trouble neuromusculaire qui commence à l'enfance et à l'adolescence et qui entraîne une faiblesse musculaire progressive
peste	est une maladie rare aujourd'hui, mais elle peut être mortelle
pancréatite chronique	est une affection qui touche de 0,04 pour cent à 5 pour cent de la population à travers le monde
cancer colorectal	une des tumeurs malignes les plus répandues dans le monde entier et environ 50 pour cent des patients développent des métastases hépatiques (le foie est le premier site de la maladie métastatique)
psychose post-partum	source constante de nouveaux épisodes de maladie mentale grave
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est une pathologie qui affecte un nombre significatif d'enfants et d'adultes de différentes manières
dissection aortique	maladie potentiellement mortelle qui se produit quand une déchirure dans la paroi interne de l'aorte (en général dans la partie thoracique de l'artère) provoque un écoulement de sang entre les couches intérieure et extérieure de la paroi de l'aorte
dépression majeure	est  une maladie mentale grave qui se caractérise par une humeur morose persistante et non réactive et une perte de tout intérêt et de tout plaisir, le plus souvent accompagnée d'un éventail de symptômes, tels qu'un changement d'appétit, des troubles du sommeil, de la fatigue, une perte d'énergie, un manque de concentration, une culpabilité inappropriée et des pensées morbides
pneumonie	est une maladie inflammatoire des poumons
laryngite	est une maladie infantile fréquente qui touche principalement les patients âgés entre six mois et trois ans, avec une incidence annuelle de pointe dans la deuxième année de vie de près de cinq pour cent
tétanos	est une maladie causée par la toxine tétanique, qui est produite par la bactérie Clostridium tetani
DMLA	maladie dans laquelle la macula (la zone à l'arrière de l'oeil responsable de la vision centrale) se détériore
thromboembolie veineuse (TEV)	est une pathologie dans laquelle un caillot de sang se forme dans les veines profondes (le plus souvent de la jambe) et peut se déplacer et aller bloquer les artères des poumons (une affection potentiellement mortelle connue sous le nom d'embolie pulmonaire)
hydroxyzine	est un antihistaminique qui a également été étudié dans les troubles anxieux
laryngite	est une maladie aiguë fréquente chez les enfants jusqu' à l'âge de six ans, mais elle touche principalement ceux âgés jusqu'à deux ans
syndrome POEMS	est un trouble sanguin rare qui peut causer une polyneuropathie
scoliose	est une affection caractérisée par la courbure en trois dimensions de la colonne vertébrale (la colonne semble alors avoir la forme d'un s lorsque la personne est observée de dos et le torse est déformé)
maladie de Crohn	est une maladie inflammatoire chronique de l'intestin qui atteint souvent la partie inférieure de l'intestin grêle, appelée iléon
principal symptôme de la maladie artérielle périphérique	douleur dans un mollet ou les deux lors de la marche
dysarthrie	est un trouble de la parole lié à des difficultés à contrôler les muscles nécessaires pour parler
alvéolite sèche	est une affection parfois due à une extraction dentaire et apparaît généralement suite à l'extraction de dents de sagesse dans la mâchoire inférieure
névralgie amyotrophiante	est un trouble douloureux du système nerveux périphérique qui survient par épisodes
myasthénie grave	est une maladie auto-immune rare dans laquelle les anticorps produits par le système immunitaire attaquent la liaison entre les nerfs et les muscles (la jonction neuromusculaire)
formation de calculs dans les voies urinaires	est un trouble médical fréquent
fibrillation auriculaire	est un trouble arythmique courant dans lequel le coeur bat rapidement et de façon irrégulière
récession gingivale	est terme un terme qui désigne l'exposition orale de la surface radiculaire en raison d'un déplacement du rebord gingival en apical en direction de la jonction amélo-cémentaire
diabète	est un trouble métabolique chronique
ESPT	est un trouble anxieux potentiellement débilitant déclenché par l'exposition à une expérience traumatique telle qu'un événement interpersonnel (agression physique ou sexuelle), une catastrophe ou un accident, une situation de combat ou le fait d'être témoin d'un événement traumatique
arthrose	est une maladie des articulations qui touche par exemple le genou ou la hanche
diarrhée persistante	est définie comme un épisode diarrhéique commençant de manière aiguë mais durant 14 jours ou plus
otite moyenne aiguë (OMA)	est une maladie infantile courante
entérocolite nécrosante (ECN)	est une maladie gastro-intestinale qui touche principalement les nouveau-nés prématurés
insuffisance cardiaque chronique	est un trouble qui se caractérise par une incapacité du coeur à pomper le sang et à faire circuler correctement l'oxygène dans l'organisme
maladie oculaire thyroïdienne	est  une affection auto-immune touchant entre 30 pour cent et 50 pour cent des patients atteints de la maladie de Basedow
cancer	est une maladie très complexe caractérisée par des signes cliniques et des phases de traitement variables
lymphome folliculaire	est une affection maligne du système lymphatique
dépression post-partum	est une maladie grave représentant un important problème de santé publique
PBD	est une maladie respiratoire chronique qui affecte majoritairement les populations d'Asie orientale
asthme	est une maladie courante, qui affecte environ 300 millions d'individus dans le monde
pneumonie	est  tels que une maladie respiratoire aiguë qui est généralement causée par des bactéries, mais qui peut également être provoquée par d'autres agents infectieux tels que des champignons, des parasites et des virus
eczéma	est une maladie chronique commune
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est un trouble mental qui se manifeste pendant l'enfance et persiste à l'âge adulte chez jusqu'à 50 pour cent des patients
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est un trouble mental infantile courant qui se caractérise par une inattention, une hyperactivité et une impulsivité
arthrose	est une maladie des articulations, par exemple du genou
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est un problème majeur chez les enfants et les adolescents et peut donner lieu à des problème de santé sociale, scolaire et mentale à long terme
asthme	est une maladie chronique (au long cours) des voies respiratoires qui touche environ 300 millions de personnes à travers le monde
AVC	est une maladie impliquant plusieurs mécanismes
leucémie lymphoïde chronique (LLC)	est une maladie maligne qui représente 25 pour cent du total des leucémies
diabète de type 1	est une maladie dans laquelle le pancréas a perdu sa capacité à fabriquer de l'insuline
myasthénie grave	est un trouble qui entraîne une faiblesse musculaire et une fatigue musculaire excessive
asthme	est une maladie inflammatoire chronique des voies respiratoires
hypertension artérielle	problème majeur de santé car elle constitue l'un des principaux facteurs de risque de maladie cardiovasculaire
primaquine	médicament antipaludique qui ne guérit pas la maladie du paludisme mais agit en tuant le parasite du paludisme au stade gamétocyte, qui passe aux moustiques lorsqu'ils piquent les humains infectés
trou maculaire idiopathique	est une maladie liée à l'âge, est une importante cause de perte de vision
lichen scléreux	est une maladie de peau chronique
leptospirose	est une maladie répandue tant dans les pays développés que dans les pays en développement
rhinite atrophique	est une affection nasale chronique de cause inconnue
SEP	est une maladie inflammatoire démyélinisante du système nerveux central humain que l'on pense reliée à un fonctionnement anormal du système immunitaire
maladie de Ménière	est  une affection de l'oreille interne entraînant vertiges, surdité et acouphènes
DEF	est une maladie causée par la dégénérescence prématurée des cellules endothéliales qui entraîne l'accumulation de liquide dans la cornée (oedème), des cloques sur la surface de l'oeil (kératopathie bulleuse) et une vision floue
sclérose en plaques	est une maladie dans laquelle les gaines de myéline autour des nerfs du cerveau et de la moelle épinière sont endommagées, ce qui affecte la capacité des cellules nerveuses à communiquer les unes avec les autres
eczéma	est une maladie de la peau qui provoque d'intenses démangeaisons et qui a tendance à impliquer les plis de la peau, comme les plis des coudes ou des genoux
carie dentaire	est une maladie très commune qui, au fil du temps, détruit la surface de la dent
tuberculose	est une maladie infectieuse grave
maladie de Ménière	est un trouble de l'oreille interne qui entraîne des étourdissements de type rotatoire (vertiges), une perte auditive et des bourdonnements dans les oreilles (acouphènes) ; cela peut être très incapacitant
maladie de Crohn	état inflammatoire chronique de l'intestin
trouble affectif saisonnier	est dépression hivernale
urticaire	est une maladie de peau commune caractérisée par des plaques irritantes qui peuvent apparaître à n'importe quel endroit sur la peau
dysfonctionnement vestibulaire aigu idiopathique	est une maladie courante dont on ignore la cause
hyperthyroïdie durant la grossesse	est une affection grave et rare qui peut augmenter les risques de fausse couche, de mortinatalité, d'accouchement prématuré et une restriction de croissance foetale intra-utérine
eczéma atopique	est une affection cutanée courante qui s'accompagne de modifications cutanées et entraîne rougeur, desquamation, gonflement et épaississement de la peau en raison du grattage chronique
cirrhose biliaire primitive	est une maladie auto-immune du foie
encéphalopathie hépatique	est un trouble des fonctions cérébrales causé par une insuffisance hépatique et/ou un shunt porto-systémique
asthme	est une maladie pulmonaire, caractérisé par une inflammation sous-jacente et un resserrement de petits tubes dans les voies respiratoires
diabète	est une des affections à long terme les plus courantes
hypothyroïdie	est une affection dans laquelle la glande thyroïde ne produit pas suffisamment d'hormones thyroïdiennes qui sont importantes pour de nombreuses fonctions de l'organisme
dépression majeure	est une maladie grave qui peut entraîner une gêne significative chez les personnes qui en souffrent et leurs familles
lombalgie	est un trouble courant et invalidant
insuffisance cardiaque	est une maladie complexe, qui survient lorsque le coeur ne pompe pas le sang assez efficacement pour répondre aux besoins de l'organisme
cancer	est une maladie grave qui implique des traitements complexes aux effets secondaires désagréables
herpès génital	est une maladie sexuellement transmissible (MST) causée par le virus de l'herpès simplex de type 1 (HSV-1) ou 2 (HSV-2)
MPOC	est une maladie irréversible qui est souvent provoquée par un irritant des voies aériennes, comme le tabac ou les poussières inhalées
syndrome de respiration dysfonctionnelle/hyperventilation (SRD/HV)	est un trouble de la respiration qui se caractérise par une respiration trop profonde et/ou trop rapide (hyperventilation)
lymphome à croissance lente	groupe de lymphomes caractérisé par une croissance lente et continue, un taux de réponse initial élevé au traitement qui cible les cellules lymphatiques (chimiothérapie ou rituximab), mais une rechute et une progression de la maladie
kératoconjonctivite atopique (KCA)	est un trouble inflammatoire de la surface oculaire dont peuvent souffrir 67,5 pour cent des patients atteints de dermatite atopique
trou maculaire	est une ouverture dans la rétine qui se développe dans la fovéa et provoque une petite tache sombre dans la vision centrale, qui empêche souvent les personnes atteintes de cette affection de reconnaître les objets de petite taille, et en particulier de lire du texte en caractères ordinaires
trouble panique	est un trouble mental courant, dont la prévalence sur une vie est de 5,1 pour cent
diverticulite	est une affection accompagnée d'une inflammation d'hernies du gros intestin que l'on nomme diverticules
cirrhose biliaire primitiv	est une maladie auto-immune du foie qui affecte principalement les femmes entre deux âges et est associée à l'ostéoporose
cirrhose biliaire primitive	est une maladie chronique du foie qui se caractérise par une inflammation et une destruction progressives des tissus hépatiques, évoluant en cirrhose du foie qui finit par exiger une greffe du foie
sclérose en plaques (SEP)	est une maladie chronique du système nerveux
ophtalmopathie thyroïdienne	est  une affection auto-immune affectant 50 pour cent des patients atteints de la maladie de Basedow
asthme	est une affection chronique très fréquente et les symptômes sont notamment l'essoufflement, la toux, la respiration sifflante et la sensation d'oppression
asthme	est une maladie qui affecte les personnes quelque soit la race, l'âge et le sexe
LPSNC	est une maladie rare
maladie intestinale inflammatoire (MII)	est  un trouble gastro-intestinal chronique contracté à l'échelle mondiale et est une cause majeure de maladie et d'invalidité
bronchopneumopathie chronique obstructive (BPCO)	est une maladie respiratoire (pulmonaire) chronique invalidante
Psoriasis	est  un trouble fréquent, une maladie cutanée inflammatoire chronique
maladie d'Alzheimer	est une maladie dégénérative du cerveau
délirium	est une maladie grave et courante chez les personnes âgées résidant en SLT
arthroplastie totale de la hanche (ATH)	est une procédure orthopédique pratiquée depuis des décennies pour réduire la douleur et améliorer le fonctionnement et la qualité de vie des personnes souffrant de troubles graves de la hanche
bronchiolite	est une maladie courante qui affecte les voies respiratoires inférieures (plus petites) chez les nouveau-nés (âgés de moins de 24 mois)
rhume	est une maladie fréquente, responsable de nombreuses consultations médicales et de jours d'absence au travail ou à l'école
kératocône	est une maladie de la cornée
hydrocéphalie à pression normale (HPN)	est une affection dans laquelle le liquide autour du cerveau n'est pas correctement absorbé, affectant négativement la fonction cérébrale
SDR	est une maladie causée par un déficit en surfactants dans les poumons des nouveau-nés
syndrome du côlon irritable (SCI)	est un trouble chronique courant qui se caractérise par une altération des habitudes intestinales et des douleurs abdominales, une gêne, des ballonnements, de la constipation ou des diarrhées ou les deux
pustulose palmo-plantaire chronique	est une maladie de la peau où des groupes répétés de pustules purulentes jaunes se forment dans la paume des mains et sous la plante des pieds, très souvent pendant plusieurs années
PLSI	est un trouble rare des nerfs périphériques et du plexus lombosacré qui provoque une douleur asymétrique et affaiblit les membres inférieurs
nécrose épidermique toxique	est une maladie de la peau rare potentiellement mortelle
mal des montagnes (MM)	est un terme utilisé pour décrire un groupe d'affections touchant le cerveau et la respiration et pouvant survenir lorsque des personnes se déplacent à des altitudes supérieures à 2500 mètres (8202 pieds)
dépression	est un trouble mental courant
fibromyalgie	est  une affection chronique caractérisée par des douleurs généralisées, ainsi que d'autres problème, tels que des troubles du sommeil, la fatigue et le dysfonctionnement cognitif
sclérose latérale amyotrophique (SLA)	est une maladie neurologique mortelle qui entraîne la paralysie d'un membre et des muscles de la déglutition et respiratoires
arthrose	est une maladie des articulations (principalement des hanches et des genoux) dans laquelle le cartilage s'use et disparaît, causant douleur, raideur articulaire et inflammation, limitant la mobilité et dégradant la qualité de vie
sclérose en plaques (SEP)	est une maladie inflammatoire du système nerveux et la cause la plus fréquente de handicap neurologique chez les jeunes adultes
diabète gestationnel	est une maladie dans laquelle la mère a des taux de glycémie élevés pendant la grossesse
trouble déficitaire de l'attention avec hyperactivité (TDAH)	est un problème courant qui affecte les enfants et les adolescents
dégénérescence maculaire liée à l'âge (DMLA)	est une maladie oculaire qui touche la zone centrale de la rétine
infection fongique des ongles de pied	est une affection courante, qui a un faible risque de complications et peu de risques de santé associés
hypertension	problème de santé sérieux qui augmente le risque de maladie cardiaque ou rénale
chrome	est par exemple un nutriment essentiel nécessaire pour réguler le métabolisme en glucides, en protéines et en graisses
restaurateur atraumatique (TRA)	est un procédé de traitement des caries dentaires qui ne nécessite pas d'instruments à moteur
maladie chronique	est   le diabète, les cancers et de maladie cardio-vasculaire
cancer de la bouche	est une maladie grave
BPCO	est une maladie des poumons qui provoque un rétrécissement des voies respiratoires
arthrite inflammatoire	groupe de maladies qui causent des douleurs, raideurs et gonflements prolongés des articulations
sclérose en plaques (SEP)	est une maladie auto-immune du système nerveux central
asthme	est une maladie chronique très répandue
asthme	est une maladie courante chez l'enfant
asthme	est une affection pulmonaire inflammatoire qui se caractérise par le rétrécissement des voies respiratoires et est associé à une respiration sifflante, un essoufflement, de la toux et une sensation d'oppression
maladie de Crohn	état inflammatoire chronique de l'intestin, qui peut toucher une personne à n'importe quel point de la bouche à l'anus
asthme	est une maladie courante dans laquelle l'inflammation et le rétrécissement des voies respiratoires peuvent provoquer des symptômes intermittents pouvant limiter les activités de la vie quotidienne
laquinimod	nouveau médicament modificateur de la maladie (DMT) disponible par voie orale offrant des propriétés doubles de modulation du système immunitaire et de protection du système nerveux
syndrome néphrotique	est une affection au cours de laquelle les reins laissent échapper les protéines du sang dans les urines
hernie inguinale	est une maladie très courante qui affecte principalement les hommes jeunes et les hommes d'âge moyen
kératocône	est une maladie dans laquelle la partie avant transparente de l'oeil (cornée) s'amincit et se déforme en cône
carie dentaire	est une maladie très répandue qui touche jusqu'à 90 pour cent des enfants et la plupart des adultes dans le monde
hémophilie	est un trouble hémostatique causé par des défauts dans les gènes qui produisent les protéines permettant la coagulation sanguine
hernie diaphragmatique congénitale	est une maladie rare mais souvent mortelle
asthme	est une affection à long terme qui provoque la toux, une respiration sifflante, l'essoufflement et une sensation d'oppression thoracique
TDC	est une affection courante chez les enfants et se caractérise par des difficultés à réaliser des activités essentielles fondées sur le mouvement
thrombose veineuse profonde (TVP)	est une affection dans laquelle un caillot de sang se forme dans les veines profondes de la jambe ou du bassin
asthme	est une maladie inflammatoire chronique des poumons qui peut conduire à une obstruction des voies respiratoires, ce qui entraîne des difficultés à respirer
hémophilie	groupe de maladies caractérisé par le mauvais fonctionnement de l'une des protéines de la coagulation sanguine
asthme	est une affection chronique qui provoque des problème respiratoires et de la toux
dégénérescence maculaire liée à l'âge (DMLA)	est une maladie qui affecte la zone centrale de la rétine
coagulopathie	est une affection dans laquelle le sang ne coagule pas parce que le venin diminue les taux de facteurs de coagulation
AVC	est une maladie courante et invalidante
clotiapine	est un médicament antipsychotique plus récent, avéré efficace pour traiter les symptômes de la schizophrénie
trouble d'anxiété généralisée (TAG)	est une pathologie très courante, qui se caractérise par une inquiétude ou une anxiété excessive vis-à-vis des événements et problème de la vie quotidienne
asthme	est une maladie affectant les poumons et pouvant rendre la respiration difficile
maladie de Ménière	est  un trouble de l'oreille interne qui entraîne une forme de vertige rotatoire, une perte auditive et des tintements d'oreilles
syndrome de Down	est un trouble génétique incurable qui provoque d'importants problème de santé mentale et physique et des incapacités
rétinopathie de la prématurité	est une maladie néovasculaire rétinienne courante des nourrissons prématurés
rhinosinusite chronique	est définie comme une pathologie courante qui est définie comme une inflammation du nez et des sinus paranasaux
lombalgie	est un trouble fréquent qui est souvent associé à la douleur et à une invalidité
fibrillation auriculaire	est une affection cardiaque qui provoque des irrégularités et souvent une accélération du rythme cardiaque
lombalgie non spécifique	douleur dorsale pour laquelle il n'y a pas de maladie ou de problème de santé associé
éclampsie	est une affection importante
grippe	est une maladie respiratoire virale très contagieuse
athérosclérose	est une maladie des artères dans laquelle des dépôts de graisse gênent l'écoulement du sang
PIDC	est une maladie paralysante rare, progressive ou récurrente, provoquée par l'inflammation des nerfs périphériques
pneumonie	appelée maladie L'infection des poumons
dysménorrhée	crampes menstruelles douloureuses
récidive clinique	maladie réapparition des symptômes de la maladie active
diabète	une affection qui conduit à des concentrations élevées de glucose dans le sang
hématopoïétiques	sang
cholestérol des lipoprotéines de basse densité	LDL, le mauvais cholestérol
repositionnement	c'est-à-dire le changement de position
thérapie de compression	est utilisée pour par exemple réduire le gonflement et d'améliorer la circulation du sang dans les veines de la jambe
trouble cognitif	et démence
myopie	et les troubles de la réfraction
 maladie cardiovasculaire	et maladie pathologies chroniques
tabagisme passif	et  l'exposition à la fumée de tabac
asthme	et d'autres maladie s impliquant l'inflammation des voies respiratoires
problème de mémoire	généralement appelés  trouble cognitifs modérés (TCM)
maladie artérielle périphérique (MAP)	implique maladie une obstruction des grandes artères
effets indésirables	incluaient le gonflement des voies respiratoires
effets secondaires avec la défériprone	incluent des douleurs articulaires, des nausées, des troubles gastriques et un faible nombre de globules blancs
symptômes	incluent nausées, vomissements, troubles de la vision et sensibilité à la lumière, au bruit et aux odeurs
chronique	indique que l'affection persiste pendant au moins six semaines
soins palliatifs	objectif est aider les patients à vivre de la manière la plus active possible jusqu'à la fin et d'aider les familles à gérer la maladie et le deuil
maladie à long terme	notamment maladie une diminution de la fonction pulmonaire, une altération de la fonction cognitive, un mauvais développement neurologique, et des taux élevés d'invalidité permanente
 maladie cardiovasculaire	notamment  ou les crises cardiaques ou les accidents vasculaires cérébraux [AVC]
multimorbidité	on parle alors de De nombreuses personnes atteintes d'une affection chronique ont plus d'un problème de santé chronique
claudication intermittente (CI)	on parle également de maladie artérielle périphérique suite au rétrécissement des artères des jambes peuvent ressentir des crampes douloureuses dans les jambes ou les fesses à la marche
Fédération Internationale de Gynécologie et d'Obstétrique	ou maladie FIGO
maladie d'Alzheimer	ou d'autres maladie démences
maladie d'Alzheimer	ou d'une autre maladie forme de démence
maladie d'Alzheimer	ou une autre maladie forme de démence
affection médicale	diabète ou hypertension
dépression	peut être un trouble indépendant, un stress psychosocial associé à un comportement de dépendance ou être une conséquence de la consommation de drogues et des effets du sevrage de drogues
maladie chronique du foie	principalement maladie la cirrhose biliaire primitive et la cholangite sclérosante primitive
dysarthrie	provient de  trouble neurologiques
trouble de l'adaptation	qui se caractérisent par  des symptômes de détresse et des trouble émotionnels suite à un bouleversement du style de vie ou à un événement stressant de la vie
médecine traditionnelle chinoise (MTC) et l'acupuncture classique	reposent sur maladie les concepts théoriques du Yin et du Yang et des Cinq éléments, qui expliquent les maladies et la fonction physiologique
leucémie lymphoïde chronique à cellules B (LLC-B)	reste maladie incurable
claudication intermittente	résulte maladie résulte de la diminution du débit sanguin dans les jambes pendant l'exercice
maladie cardiovasculaire (MCV)	résulte de maladie complications du coeur et des vaisseaux sanguins
maladie de Ménière	se caractérise par maladie des étourdissements (vertiges), une perte auditive et des sifflements dans les oreilles (acouphènes), parfois accompagnés d'une sensation d'oreille pleine
amblyopie par privation de stimulus (APS)	se développe lorsqu'il y a un obstacle à la vision dans l'oeil, par exemple un cristallin opacifié ou une paupière tombante, ou un trouble de la réfraction inégal dans les deux yeux (l'image n'est pas au point, par exemple un oeil est myope et l'autre hypermétrope)
insuffisance cardiaque	se traduit par maladie l'incapacité de la cavité inférieure du muscle cardiaque à se remplir ou à expulser normalement du sang en raison d'une maladie cardiaque de quelque origine que ce soit
Souffrir d'anémie	signifie avoir dans le sang un nombre de globules rouges inférieur à la normale
malacie	signifie mollesse, mou
nouveau-nés prématurés	signifie nés à moins de 32 semaines de gestation
terme d'innocuité	signifie un médicament ne cause aucun dommage
capacité émotionnelle	signifie la compréhension des émotions des autres, et la compréhension et le contrôle de ses propres émotions
refroidissement précoce	signifie la personne subit un refroidissement rapide par le personnel ambulancier, paramédical ou médical présent sur place
stade IA2	signifie le cancer a pénétré de 3 mm à 5 mm dans les tissus du col, mais sa largeur est encore de moins de 7 mm
placenta praevia	signifie lorsque le placenta reste dans la partie basse de l'utérus
risque élevé de biais	il est possible d'arriver à de mauvaises conclusions
risque de biais modéré	les résultats sont susceptibles d'être moins crédibles que si le risque de biais était faible
risque élevé de biais	risques de surestimation des effets bénéfiques et de sous-estimation des effets nocifs
col	ouverture de l'utérus
antihistaminique	comme les stéroïdes topiques
prescription différée	signifie que le médecin prescrit des antibiotiques au patient quelques jours après sa visite
émotionalisme	signifie que la personne a du mal à contrôler son comportement émotionnel
mort subite cardiaque	signifie que le coeur, puis la circulation s'arrêtent
risque élevé de biais	signifie que les conclusions peuvent en être erronées en raison de la manière dont l'essai était réalisé
trouble de la parole	une voix faible, rauque, nasale ou monotone, une articulation imprécise, un débit de parole lent ou rapide, des difficultés à commencer à parler, une accentuation ou un rythme dégradés, un bégaiement et un tremblement de la voix
hémophilies A et B	sont des troubles héréditaires de la coagulation liés au chromosome X, dans lesquels le principal problème clinique consiste en des saignements répétés dans les articulations
trouble de stress post-traumatique (TSPT)	sont très fréquents chez les enfants et les adolescents ayant subi des traumatismes
pemphigoïde des muqueuses et l'épidermolyse bulleuse acquise	sont des maladies bulleuses auto-immunes de la peau rares, touchant la peau et les muqueuses (yeux et bouche)
trouble anxieux	sont des pathologies potentiellement incapacitantes qui apparaissent fréquemment pendant l'enfance et l'adolescence
pemphigus vulgaris et le pemphigus foliaceus	maladies rares caractérisées par des cloques fragiles et des plaies sur la peau et la muqueuse
surpoids et l'obésité	sont des problèmes de santé courants qui accroissent le risque de développer plusieurs types de maladies graves
macrolide	maladie des antibiotiques utilisés pour lutter contre un large éventail de bactéries pathogènes et diverses maladies infectieuses
